chapter              - 370
that                 - 93
with                 - 73
said                 - 73
prince               - 62
anna                 - 61
pavlovna             - 51
this                 - 44
have                 - 42
vicomte              - 36
pierre               - 30
what                 - 29
princess             - 28
very                 - 26
will                 - 26
which                - 24
smile                - 23
been                 - 21
they                 - 20
them                 - 20
from                 - 19
little               - 19
only                 - 19
young                - 18
time                 - 17
about                - 17
face                 - 17
viii                 - 17
more                 - 17
know                 - 17
vasili               - 16
were                 - 16
xiii                 - 16
book                 - 16
like                 - 16
there                - 15
your                 - 14
would                - 14
andrew               - 14
round                - 14
beautiful            - 13
dont                 - 13
xvii                 - 13
first                - 13
when                 - 13
then                 - 13
after                - 12
just                 - 12
again                - 12
xviii                - 12
continued            - 12
hand                 - 11
society              - 11
even                 - 11
something            - 11
into                 - 11
though               - 11
people               - 11
always               - 11
himself              - 11
words                - 11
their                - 10
abbe                 - 10
could                - 10
expression           - 10
another              - 10
dear                 - 10
aunt                 - 10
french               - 10
wished               - 10
hippolyte            - 10
come                 - 10
without              - 9
good                 - 9
room                 - 9
last                 - 9
having               - 9
added                - 9
drawing              - 9
emperor              - 9
monsieur             - 9
tone                 - 9
speak                - 9
shall                - 9
eyes                 - 9
knew                 - 9
helene               - 8
conversation         - 8
everyone             - 8
think                - 8
listen               - 8
group                - 8
smiled               - 8
down                 - 8
some                 - 8
whole                - 8
nothing              - 8
asked                - 8
looked               - 8
came                 - 8
pavlovnas            - 8
daughter             - 8
looking              - 8
over                 - 8
story                - 8
smiling              - 8
once                 - 8
dress                - 8
these                - 7
each                 - 7
moment               - 7
away                 - 7
before               - 7
tell                 - 7
look                 - 7
father               - 7
revolution           - 7
work                 - 7
shoulders            - 7
great                - 7
most                 - 7
buonaparte           - 7
xxii                 - 7
turning              - 7
turned               - 7
table                - 7
than                 - 7
head                 - 7
wife                 - 7
empress              - 7
spoke                - 6
same                 - 6
napoleon             - 6
gone                 - 6
lady                 - 6
went                 - 6
woman                - 6
replied              - 6
promise              - 6
take                 - 6
reception            - 6
being                - 6
believe              - 6
still                - 6
word                 - 6
poor                 - 6
charming             - 6
other                - 6
such                 - 6
suddenly             - 6
pierres              - 6
also                 - 6
seemed               - 6
evidently            - 6
vasilis              - 6
between              - 6
petersburg           - 6
power                - 6
here                 - 6
left                 - 5
talking              - 5
murder               - 5
well                 - 5
rose                 - 5
almost               - 5
began                - 5
must                 - 5
short                - 5
general              - 5
baron                - 5
waiting              - 5
rather               - 5
health               - 5
ebook                - 5
maid                 - 5
anyone               - 5
europe               - 5
mortemart            - 5
where                - 5
those                - 5
show                 - 5
peace                - 5
whom                 - 5
entered              - 5
gave                 - 5
while                - 5
pretty               - 5
social               - 5
interesting          - 5
clever               - 5
silent               - 5
xxiii                - 5
life                 - 5
guards               - 4
wish                 - 4
others               - 4
remarked             - 4
lise                 - 4
russia               - 4
assumed              - 4
arms                 - 4
liberty              - 4
circle               - 4
thing                - 4
unable               - 4
full                 - 4
hostess              - 4
ambassadors          - 4
answer               - 4
under                - 4
company              - 4
passed               - 4
soon                 - 4
balance              - 4
anatole              - 4
evening              - 4
difficult            - 4
best                 - 4
make                 - 4
heard                - 4
morio                - 4
bolkonskaya          - 4
equality             - 4
sovereigns           - 4
wont                 - 4
because              - 4
kutuzov              - 4
family               - 4
took                 - 4
elderly              - 4
thought              - 4
english              - 4
denghien             - 4
through              - 4
becoming             - 4
features             - 4
longer               - 4
pleased              - 4
king                 - 4
alone                - 4
guests               - 4
xxiv                 - 4
never                - 4
anxiety              - 4
contrary             - 4
kept                 - 4
else                 - 4
become               - 4
brought              - 4
world                - 4
everything           - 4
xxvi                 - 4
sitting              - 4
speaking             - 4
necessary            - 4
ones                 - 4
children             - 4
should               - 4
visitor              - 4
herself              - 4
much                 - 3
quiet                - 3
vocation             - 3
scherer              - 3
arranged             - 3
better               - 3
considered           - 3
bolkonski            - 3
understand           - 3
ever                 - 3
women                - 3
save                 - 3
tonight              - 3
quite                - 3
became               - 3
annette              - 3
found                - 3
does                 - 3
speech               - 3
late                 - 3
things               - 3
impossible           - 3
funke                - 3
start                - 3
benefactor           - 3
husband              - 3
breeches             - 3
wellknown            - 3
going                - 3
trying               - 3
mind                 - 3
meet                 - 3
tale                 - 3
reply                - 3
back                 - 3
hope                 - 3
made                 - 3
terrible             - 3
ideas                - 3
true                 - 3
present              - 3
since                - 3
workbag              - 3
handsome             - 3
soul                 - 3
certainly            - 3
evident              - 3
wonderful            - 3
fact                 - 3
showed               - 3
project              - 3
felt                 - 3
interest             - 3
gutenberg            - 3
fete                 - 3
voice                - 3
stop                 - 3
least                - 3
addressing           - 3
moved                - 3
dowager              - 3
leave                - 3
respect              - 3
rich                 - 3
told                 - 3
fathers              - 3
xxviii               - 3
honor                - 3
declared             - 3
regicide             - 3
politeness           - 3
decided              - 3
wanted               - 3
bowed                - 3
understood           - 3
cant                 - 3
white                - 3
might                - 3
case                 - 3
give                 - 3
both                 - 3
bonaparte            - 3
effect               - 3
dieu                 - 3
mentioned            - 3
rest                 - 3
spread               - 3
visit                - 3
prove                - 3
transferred          - 3
beauty               - 3
profound             - 3
beside               - 3
large                - 3
betraying            - 3
begin                - 3
knee                 - 3
constant             - 3
political            - 3
high                 - 3
expressed            - 3
coat                 - 3
kissed               - 3
hear                 - 3
madame               - 3
stood                - 3
promised             - 3
seen                 - 3
current              - 3
especially           - 3
frightened           - 3
lovely               - 3
natural              - 3
force                - 3
place                - 3
person               - 3
xxvii                - 3
hero                 - 3
ready                - 3
youth                - 2
shrugged             - 2
sake                 - 2
sister               - 2
audience             - 2
conde                - 2
lips                 - 2
destroyed            - 2
days                 - 2
returned             - 2
faces                - 2
yours                - 2
faithful             - 2
check                - 2
child                - 2
motive               - 2
perform              - 2
shrugging            - 2
order                - 2
unhappy              - 2
thats                - 2
folds                - 2
gaily                - 2
xxxiii               - 2
famous               - 2
question             - 2
sarcastic            - 2
reminded             - 2
regard               - 2
capital              - 2
upon                 - 2
gleam                - 2
mademoiselle         - 2
less                 - 2
affected             - 2
chief                - 2
italian              - 2
despite              - 2
impatience           - 2
interested           - 2
clouded              - 2
actions              - 2
entertainment        - 2
attack               - 2
prevented            - 2
refused              - 2
occurred             - 2
intimate             - 2
watch                - 2
attend               - 2
given                - 2
doubt                - 2
memory               - 2
asking               - 2
marya                - 2
cared                - 2
center               - 2
three                - 2
tolstoy              - 2
manners              - 2
bourbons             - 2
means                - 2
performed            - 2
fellow               - 2
choice               - 2
small                - 2
mikhaylovna          - 2
appointment          - 2
epilogue             - 2
papa                 - 2
bear                 - 2
majesty              - 2
obtain               - 2
amiable              - 2
done                 - 2
pause                - 2
point                - 2
third                - 2
mean                 - 2
neither              - 2
sofa                 - 2
court                - 2
right                - 2
shoes                - 2
sometimes            - 2
moscow               - 2
habit                - 2
talk                 - 2
listened             - 2
seated               - 2
count                - 2
importance           - 2
lorgnette            - 2
grand                - 2
killed               - 2
peculiar             - 2
explain              - 2
fear                 - 2
served               - 2
invalid              - 2
familiarity          - 2
known                - 2
gathered             - 2
machine              - 2
spectacles           - 2
return               - 2
feel                 - 2
sadness              - 2
pleasant             - 2
comedy               - 2
steps                - 2
hour                 - 2
louis                - 2
extraordinary        - 2
breast               - 2
golitsyn             - 2
myself               - 2
received             - 2
xxxii                - 2
long                 - 2
glance               - 2
mans                 - 2
appeal               - 2
xxxiv                - 2
habitual             - 2
